"CountryCode","GDP_Millions_of_US_Dollars"
"ABW",2584
"AFG",20497
"AGO",114147
"ALB",12648
"ARE",348595
"ARG",475502
"ARM",9951
"ATG",1134
"AUS",1532408
"AUT",394708
"AZE",66605
"BDI",2472
"BEL",483262
"BEN",7557
"BFA",10441
"BGD",116355
"BGR",50972
"BHR",29044
"BHS",8149
"BIH",17466
"BLR",63267
"BLZ",1493
"BMU",5474
"BOL",27035
"BRA",2252664
"BRB",4225
"BRN",16954
"BTN",1780
"BWA",14504
"CAF",2184
"CAN",1821424
"CHE",631173
"CHL",269869
"CHN",8227103
"CIV",24680
"CMR",25322
"COG",13678
"COL",369606
"COM",596
"CPV",1827
"CRI",45104
"CUB",68234
"CYP",22767
"CZE",196446
"DEU",3428131
"DMA",480
"DNK",314887
"DOM",59047
"DZA",205789
"EAP",10329684
"ECA",1887950
"ECU",84040
"EGY",262832
"EMU",12192344
"ERI",3092
"ESP",1322965
"EST",22390
"ETH",41605
"FIN",247546
"FJI",3908
"FRA",2612878
"FSM",326
"GAB",18377
"GBR",2471784
"GEO",15747
"GHA",40711
"GIN",5632
"GMB",917
"GNB",822
"GNQ",17697
"GRC",249099
"GRD",767
"GTM",50234
"GUY",2851
"HIC",49717634
"HKG",263259
"HND",18434
"HRV",59228
"HTI",7843
"HUN",124600
"IDN",878043
"IND",1841710
"IRL",210771
"IRN",514060
"IRQ",210280
"ISL",13579
"ISR",258217
"ITA",2014670
"JAM",14755
"JOR",31015
"JPN",5959718
"KAZ",203521
"KEN",40697
"KGZ",6475
"KHM",14038
"KIR",175
"KNA",767
"KOR",1129598
"KSV",6445
"KWT",160913
"LAC",5344028
"LAO",9418
"LBN",42945
"LBR",1734
"LCA",1239
"LIC",504431
"LKA",59423
"LMC",4823811
"LMY",22769282
"LSO",2448
"LTU",42344
"LUX",55178
"LVA",28373
"MAC",43582
"MAR",95982
"MCO",6075
"MDA",7253
"MDG",9975
"MDV",2222
"MEX",1178126
"MHL",182
"MIC",22249909
"MKD",9613
"MLI",10308
"MLT",8722
"MNA",1540807
"MNE",4373
"MNG",10271
"MOZ",14244
"MRT",4199
"MUS",10486
"MWI",4264
"MYS",305033
"NAM",13072
"NER",6773
"NGA",262597
"NIC",10507
"NLD",770555
"NOR",499667
"NPL",18963
"NZL",167347
"OMN",69972
"PAK",225143
"PAN",36253
"PER",203790
"PHL",250182
"PLW",228
"PNG",15654
"POL",489795
"PRI",101496
"PRT",212274
"PRY",25502
"QAT",171476
"ROM",192711
"RUS",2014775
"RWA",7103
"SAS",2286093
"SAU",711050
"SDN",58769
"SEN",14046
"SGP",274701
"SLB",1008
"SLE",3796
"SLV",23864
"SRB",37489
"SSA",1289813
"SSD",10220
"STP",263
"SUR",5012
"SVK",91149
"SVN",45279
"SWE",523806
"SWZ",3744
"SYC",1129
"SYR",73672
"TCD",12887
"TGO",3814
"THA",365966
"TJK",6972
"TKM",35164
"TMP",1293
"TON",472
"TTO",23320
"TUN",45662
"TUR",789257
"TUV",40
"TZA",28242
"UGA",19881
"UKR",176309
"UMC",17426690
"URY",49920
"USA",16244600
"UZB",51113
"VCT",713
"VEN",381286
"VNM",155820
"VUT",787
"WLD",72440449
"WSM",684
"YEM",35646
"ZAF",384313
"ZAR",17204
"ZMB",20678
"ZWE",9802
